date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-14-12:53:52,195339,221075,328371,9899,0.4691,0.9518,0.6285,754684,23.175
2025-05-14-12:54:15,226932,130932,457749,0,0.6341,1.0,0.7761,815613,22.379
2025-05-14-12:54:38,201602,56667,472034,32,0.7806,0.9998,0.8767,730335,22.584
2025-05-14-12:55:01,203406,21447,528099,89,0.9046,0.9996,0.9497,753041,22.559
2025-05-14-12:55:23,217507,8849,567108,65,0.9609,0.9997,0.9799,793529,22.663
2025-05-14-12:55:46,214980,4942,567121,63,0.9775,0.9997,0.9885,787106,22.517
2025-05-14-12:56:09,206814,3287,543698,73,0.9844,0.9996,0.9919,753872,22.85
2025-05-14-12:56:33,219690,2482,578684,77,0.9888,0.9996,0.9942,800933,22.929
2025-05-14-12:56:56,206233,1848,543971,26,0.9911,0.9999,0.9955,752078,22.753
2025-05-14-12:57:19,223213,1478,582548,74,0.9934,0.9997,0.9965,807313,22.782
2025-05-14-12:57:42,214990,1228,576153,67,0.9943,0.9997,0.997,792438,22.882
2025-05-14-12:58:05,155375,4349,369672,42,0.9728,0.9997,0.9861,529438,22.862
2025-05-14-12:58:28,138936,2841,328589,26,0.98,0.9998,0.9898,470392,22.694
2025-05-14-12:58:51,145343,2225,330359,27,0.9849,0.9998,0.9923,477954,22.78
2025-05-14-12:59:14,130704,1500,312678,32,0.9887,0.9998,0.9942,444914,22.871
2025-05-14-12:59:37,130326,1593,315115,27,0.9879,0.9998,0.9938,447061,22.689
2025-05-14-13:00:00,139237,2168,317889,24,0.9847,0.9998,0.9922,459318,22.778
2025-05-14-13:00:23,136120,2059,303652,40,0.9851,0.9997,0.9923,441871,22.687
2025-05-14-13:00:46,132299,1604,306390,42,0.988,0.9997,0.9938,440335,22.664
2025-05-14-13:01:09,153777,1640,362045,41,0.9894,0.9997,0.9946,517503,22.806
2025-05-14-13:01:32,135040,1656,309172,27,0.9879,0.9998,0.9938,445895,22.936
2025-05-14-13:01:55,136379,1483,316448,32,0.9892,0.9998,0.9945,454342,22.77
2025-05-14-13:02:18,138090,1542,326035,15,0.989,0.9999,0.9944,465682,22.717
2025-05-14-13:02:41,148893,1246,356323,76,0.9917,0.9995,0.9956,506538,22.807
