file_name,accuracy,tn,fp,fn,tp,precision,recall,f1,annot_fg,annot_bg,area_true,area_pred,area_error,seg_time,model_name,annot_duration_s,clicks
1890990 Resistivity-Gamma-Directional Survey Log Scan_003.jpg,0.9968906168419482,221433,512,822,206257,0.997523806760201,0.9960305004370312,0.9967765943051555,1158,1417,207079,206769,-310,1747219499.0,000065_1747476517.pkl,203.9361550807953,30
1920280_M-26A_Density Log Scan_Color_004.jpg,0.9971889040516492,249328,905,504,250491,0.9964001018313736,0.9979919918723481,0.9971954115420062,835,2298,250995,251396,401,1747219681.0,000001_1747219499.pkl,248.03662753105164,48
T19982 Stage1Jewelry_16JUL10_004.jpg,0.9993328133201859,224120,79,193,183290,0.99956917472419,0.9989481314345198,0.9992585565841265,230,363,183483,183369,-114,1747219999.0,000001_1747219499.pkl,232.78043293952942,47
|1920200 Dual Prop, Resistivity, Gamma, Directional Log Scan_000.jpg|,0.9994653609397961,573155,340,26,111053,0.9969477435745514,0.9997659323544504,0.998354849149556,1196,1805,111079,111393,314,1747220265.0,000010_1747220262.pkl,0,0
1860310 Gamma Ray Log Scan 3_001.jpg,0.9997695015373076,337328,98,20,174488,0.9994386720584697,0.9998853920737159,0.999661982159533,615,700,174508,174586,78,1747220672.0,000012_1747220308.pkl,120.58772683143616,21
$R14BIPP_004.jpg,0.999964929262322,335087,9,6,92605,0.9999028224674456,0.9999352128796796,0.9999190174112565,567,124,92611,92614,3,1747220814.0,000016_1747220792.pkl,327.3504958152771,72
CD3-130PB1 VISION Resistivity 5MD Recorded Mode Log_002.jpg,1.0,627384,0,0,166497,1.0,1.0,1.0,0,0,166497,166497,0,1747221140.0,000021_1747221067.pkl,0,0
1860310 Gamma Ray Log Scan 4_004.jpg,1.0,385214,0,0,120976,1.0,1.0,1.0,0,0,120976,120976,0,1747221166.0,000021_1747221067.pkl,7.134925603866577,0
1860310 Gamma Ray Log Scan 3_004.jpg,1.0,376589,0,0,135345,1.0,1.0,1.0,0,0,135345,135345,0,1747221174.0,000021_1747221067.pkl,8.170525789260864,0
1770670 Core Gamma Correlation Scan_003.jpg,1.0,352632,0,0,91548,1.0,1.0,1.0,0,0,91548,91548,0,1747221183.0,000022_1747221182.pkl,11.907095670700073,0
1780180 PRUDHOE BAY UNIT 04-12 TEMP LOG_003.jpg,0.8280859570214892,359096,76312,56,8758,0.1029505113435994,0.9936464715225777,0.18657066166758982,292,412929,8814,85070,76256,1747221194.0,000022_1747221182.pkl,1328.0916149616241,290
SCU 31-04 PB1 TC TVD_003.jpg,0.8783229061795867,525370,80470,748,60900,0.4307844662941218,0.9878665974565274,0.5999468027465544,1426,301183,61648,141370,79722,1747222605.0,000023_1747221274.pkl,2568.2845709323883,580
1630230 Sonic Log-Gamma Ray Scan_000.jpg,1.0,506116,0,0,112466,1.0,1.0,1.0,0,0,112466,112466,0,1747225222.0,000023_1747221274.pkl,0,0
1961900 Core Gamma Log Scan_001.jpg,0.6419329131348258,245081,148140,132,20737,0.12279351243804662,0.9936748286932771,0.21857641267800113,241,332547,20869,168877,148008,1747298008.0,000023_1747221274.pkl,483.5223512649536,77
1900770 Resistivity-Gamma-Dual Prop Survey Scan_003.jpg,0.9821355356410707,649351,12135,65,21369,0.637804441260745,0.9969674349164879,0.7779314864028543,176,127761,21434,33504,12070,1747298548.0,000031_1747298526.pkl,1295.4406428337097,258
1890990 Resistivity-Gamma-Directional Survey Log Scan_002.jpg,0.9855346087864548,411167,4576,1630,11651,0.7180008627595982,0.8772682779911152,0.7896841534499119,3422,232809,13281,16227,2946,1747302007.0,000035_1747299080.pkl,788.8989732265472,180
CD3-130PB1 VISION Resistivity 5MD Recorded Mode Log_000.jpg,0.990653511042587,778333,1650,5770,8128,0.8312538351401104,0.5848323499784142,0.6866024666328772,5930,4892,13898,9778,-4120,1747303276.0,000037_1747302240.pkl,3303.250124692917,605
3H-33A_LDL_10DEC23_img_004.jpg,0.9801515783618412,698615,1457,12816,6212,0.8100143434606859,0.3264662602480555,0.46537064089598085,13181,3150,19028,7669,-11359,1747307110.0,000037_1747302240.pkl,3392.2495017051697,782
