date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-04-26-12:59:54,106825,4947,4045928,33,0.9557,0.9997,0.9772,4157733,23.487
2025-04-26-13:00:17,98469,3729,4297020,23,0.9635,0.9998,0.9813,4399241,22.847
2025-04-26-13:00:41,94648,3240,4170249,45,0.9669,0.9995,0.9829,4268182,22.738
2025-04-26-13:01:04,104931,2805,4305271,52,0.974,0.9995,0.9866,4413059,22.93
2025-04-26-13:01:27,102709,1687,4286180,16,0.9838,0.9998,0.9918,4390592,22.962
2025-04-26-13:01:51,97315,1314,3872076,20,0.9867,0.9998,0.9932,3970725,23.414
2025-04-26-13:02:15,74474,37214,3766458,1383,0.6668,0.9818,0.7942,3879529,23.283
2025-04-26-13:02:38,75662,12789,3647926,617,0.8554,0.9919,0.9186,3736994,22.976
2025-04-26-13:03:02,80413,5158,3568091,148,0.9397,0.9982,0.9681,3653810,22.901
2025-04-26-13:03:26,74965,2938,3742178,55,0.9623,0.9993,0.9804,3820136,23.258
2025-04-26-13:03:49,83599,6224,3723569,67,0.9307,0.9992,0.9637,3813459,22.995
2025-04-26-13:04:12,66015,549,3901020,64,0.9918,0.999,0.9954,3967648,22.857
2025-04-26-13:04:36,78174,1754,3634513,106,0.9781,0.9986,0.9882,3714547,23.074
2025-04-26-13:04:59,85152,1212,3687358,61,0.986,0.9993,0.9926,3773783,23.112
2025-04-26-13:05:23,73413,4069,3622248,54,0.9475,0.9993,0.9727,3699784,23.027
2025-04-26-13:05:46,73096,401,3754937,124,0.9945,0.9983,0.9964,3828558,22.962
2025-04-26-13:06:10,264785,8068,3283405,428,0.9704,0.9984,0.9842,3556686,23.023
2025-04-26-13:06:34,220870,2069,3515139,131,0.9907,0.9994,0.995,3738209,22.974
2025-04-26-13:06:57,264579,3402,3444676,103,0.9873,0.9996,0.9934,3712760,22.897
2025-04-26-13:07:20,220805,1535,3731224,40,0.9931,0.9998,0.9964,3953604,23.012
2025-04-26-13:07:44,244935,3509,3360345,59,0.9859,0.9998,0.9928,3608848,22.889
2025-04-26-13:08:07,241216,1164,3600002,35,0.9952,0.9999,0.9975,3842417,23.105
2025-04-26-13:08:31,224271,542,3782139,121,0.9976,0.9995,0.9985,4007073,22.995
2025-04-26-13:08:54,214632,2618,3609881,104,0.9879,0.9995,0.9937,3827235,23.18
2025-04-26-13:09:18,209163,1189,3471010,81,0.9943,0.9996,0.997,3681443,22.991
2025-04-26-13:09:41,231634,437,3592998,22,0.9981,0.9999,0.999,3825091,23.026
2025-04-26-13:10:05,229645,284,3352321,25,0.9988,0.9999,0.9993,3582275,22.954
2025-04-26-13:10:28,236076,312,3495663,31,0.9987,0.9999,0.9993,3732082,22.931
2025-04-26-13:10:52,247296,690,3735349,31,0.9972,0.9999,0.9985,3983366,22.898
2025-04-26-13:11:15,247508,263,3626470,68,0.9989,0.9997,0.9993,3874309,22.974
2025-04-26-13:11:38,236757,672,3455786,31,0.9972,0.9999,0.9985,3693246,22.96
2025-04-26-13:12:02,201109,1055,3818196,16,0.9948,0.9999,0.9973,4020376,22.795
2025-04-26-13:12:25,220021,178,3608744,78,0.9992,0.9996,0.9994,3829021,23.035
2025-04-26-13:12:49,225109,1254,3089060,308,0.9945,0.9986,0.9965,3315731,23.442
2025-04-26-13:13:13,236032,539,2993160,180,0.9977,0.9992,0.9985,3229911,23.037
2025-04-26-13:13:36,197461,355,3309776,144,0.9982,0.9993,0.9987,3507736,23.211
2025-04-26-13:14:00,210550,518,2917791,66,0.9975,0.9997,0.9986,3128925,22.979
2025-04-26-13:14:23,228228,229,3068742,207,0.999,0.9991,0.999,3297406,22.967
2025-04-26-13:14:46,227245,685,3181124,133,0.997,0.9994,0.9982,3409187,22.785
2025-04-26-13:15:10,197645,203,2969081,136,0.999,0.9993,0.9991,3167065,23.051
2025-04-26-13:15:33,236552,439,3104864,56,0.9981,0.9998,0.999,3341911,23.101
2025-04-26-13:15:57,213874,494,3019571,133,0.9977,0.9994,0.9985,3234072,22.937
2025-04-26-13:16:20,206636,721,3281432,251,0.9965,0.9988,0.9977,3489040,22.639
2025-04-26-13:16:44,229831,1298,3180576,57,0.9944,0.9998,0.9971,3411762,23.24
2025-04-26-13:17:07,218338,150,3381606,74,0.9993,0.9997,0.9995,3600168,23.164
2025-04-26-13:17:31,231634,221,3315937,50,0.999,0.9998,0.9994,3547842,23.032
2025-04-26-13:17:54,197226,241,3273896,96,0.9988,0.9995,0.9991,3471459,23.172
2025-04-26-13:18:18,180238,1360,2639289,219,0.9925,0.9988,0.9956,2821106,23.033
2025-04-26-13:18:41,176677,488,2594711,191,0.9972,0.9989,0.9981,2772067,22.777
2025-04-26-13:19:04,205427,596,2573804,73,0.9971,0.9996,0.9984,2779900,23.045
2025-04-26-13:19:28,191537,893,2719954,137,0.9954,0.9993,0.9973,2912521,22.945
2025-04-26-13:19:52,205219,120,2814078,159,0.9994,0.9992,0.9993,3019576,23.308
2025-04-26-13:20:16,210811,261,2807109,51,0.9988,0.9998,0.9993,3018232,23.552
2025-04-26-13:20:39,192635,137,2668653,91,0.9993,0.9995,0.9994,2861516,22.919
2025-04-26-13:21:03,185194,107,2816597,53,0.9994,0.9997,0.9996,3001951,22.929
2025-04-26-13:21:27,202242,131,2788351,32,0.9994,0.9998,0.9996,2990756,23.122
2025-04-26-13:21:51,181927,113,2709980,144,0.9994,0.9992,0.9993,2892164,23.172
2025-04-26-13:22:15,200218,246,2835886,84,0.9988,0.9996,0.9992,3036434,22.98
2025-04-26-13:22:39,151928,148,2666946,51,0.999,0.9997,0.9993,2819073,23.072
2025-04-26-13:23:03,192382,329,2930992,144,0.9983,0.9993,0.9988,3123847,22.922
2025-04-26-13:23:27,182741,15029,2846277,6207,0.924,0.9671,0.9451,3050254,23.385
2025-04-26-13:23:51,118801,3583,3096432,2947,0.9707,0.9758,0.9733,3221763,23.14
2025-04-26-13:24:15,170954,3563,3144913,978,0.9796,0.9943,0.9869,3320408,23.091
2025-04-26-13:24:39,178939,2854,3559819,361,0.9843,0.998,0.9911,3741973,23.182
2025-04-26-13:25:03,175243,2156,3365815,398,0.9878,0.9977,0.9928,3543612,23.065
2025-04-26-13:25:27,156617,478,3170323,470,0.997,0.997,0.997,3327888,22.972
2025-04-26-13:25:51,119255,1865,3170201,80,0.9846,0.9993,0.9919,3291401,23.097
2025-04-26-13:26:14,146635,867,3280906,360,0.9941,0.9976,0.9958,3428768,23.053
2025-04-26-13:26:39,133305,995,3174519,69,0.9926,0.9995,0.996,3308888,23.222
2025-04-26-13:27:03,154822,574,3295850,61,0.9963,0.9996,0.998,3451307,23.154
2025-04-26-13:27:27,145869,314,3104583,167,0.9979,0.9989,0.9984,3250933,23.088
2025-04-26-13:27:50,172371,413,2919076,53,0.9976,0.9997,0.9987,3091913,22.831
2025-04-26-13:28:14,151735,195,3311203,112,0.9987,0.9993,0.999,3463245,23.182
2025-04-26-13:28:38,189917,822,3170373,71,0.9957,0.9996,0.9977,3361183,23.049
2025-04-26-13:29:02,152175,240,3177731,105,0.9984,0.9993,0.9989,3330251,23.078
2025-04-26-13:29:26,121491,1494,2825379,44,0.9879,0.9996,0.9937,2948408,23.658
2025-04-26-13:29:50,144786,1451,2572512,55,0.9901,0.9996,0.9948,2718804,23.178
2025-04-26-13:30:14,119236,821,2529694,373,0.9932,0.9969,0.995,2650124,23.03
2025-04-26-13:30:38,118233,1056,2717584,79,0.9911,0.9993,0.9952,2836952,23.036
2025-04-26-13:31:02,139306,485,2663847,62,0.9965,0.9996,0.998,2803700,23.235
2025-04-26-13:31:26,127786,974,2957376,162,0.9924,0.9987,0.9956,3086298,22.934
2025-04-26-13:31:50,152637,599,2664004,89,0.9961,0.9994,0.9978,2817329,22.806
2025-04-26-13:32:13,130954,506,2767021,117,0.9962,0.9991,0.9976,2898598,22.74
2025-04-26-13:32:37,142666,509,2655472,18,0.9964,0.9999,0.9982,2798665,23.081
2025-04-26-13:33:01,133899,456,2477097,63,0.9966,0.9995,0.9981,2611515,23.101
2025-04-26-13:33:25,145043,327,2892791,45,0.9978,0.9997,0.9987,3038206,22.903
2025-04-26-13:33:49,150375,410,2775737,61,0.9973,0.9996,0.9984,2926583,22.976
2025-04-26-13:34:13,143911,612,2937084,46,0.9958,0.9997,0.9977,3081653,23.156
2025-04-26-13:34:37,130476,554,2654959,86,0.9958,0.9993,0.9976,2786075,23.113
2025-04-26-13:35:00,128289,391,2816775,15,0.997,0.9999,0.9984,2945470,23.084
2025-04-26-13:35:24,141844,311,2785942,58,0.9978,0.9996,0.9987,2928155,23.04
2025-04-26-13:35:48,147299,345,2681213,75,0.9977,0.9995,0.9986,2828932,23.154
2025-04-26-13:36:12,119459,268,2771966,45,0.9978,0.9996,0.9987,2891738,23.14
2025-04-26-13:36:36,136682,447,2743773,113,0.9967,0.9992,0.998,2881015,23.246
2025-04-26-13:37:00,154543,358,2362249,36,0.9977,0.9998,0.9987,2517186,22.822
2025-04-26-13:37:24,146576,234,2756727,30,0.9984,0.9998,0.9991,2903567,22.906
2025-04-26-13:37:48,134444,322,2815896,63,0.9976,0.9995,0.9986,2950725,23.011
2025-04-26-13:38:12,118013,384,2557724,46,0.9968,0.9996,0.9982,2676167,23.051
2025-04-26-13:38:36,132764,279,2746383,36,0.9979,0.9997,0.9988,2879462,23.03
2025-04-26-13:38:59,143007,247,2749314,70,0.9983,0.9995,0.9989,2892638,22.95
2025-04-26-13:39:23,136252,257,2825931,65,0.9981,0.9995,0.9988,2962505,23.035
2025-04-26-13:39:47,129604,389,2706257,58,0.997,0.9996,0.9983,2836308,22.969
2025-04-26-13:40:11,104650,342,2563259,35,0.9967,0.9997,0.9982,2668286,22.985
2025-04-26-13:40:35,142738,210,2861982,29,0.9985,0.9998,0.9992,3004959,22.957
2025-04-26-13:40:58,108921,162,2707245,170,0.9985,0.9984,0.9985,2816498,22.836
2025-04-26-13:41:22,153547,521,3070297,64,0.9966,0.9996,0.9981,3224429,23.014
2025-04-26-13:41:46,134195,322,2735171,45,0.9976,0.9997,0.9986,2869733,22.874
2025-04-26-13:42:10,134051,245,2773568,55,0.9982,0.9996,0.9989,2907919,22.952
2025-04-26-13:42:34,113842,198,2610857,55,0.9983,0.9995,0.9989,2724952,23.065
2025-04-26-13:42:57,123597,543,2619778,43,0.9956,0.9997,0.9976,2743961,22.933
2025-04-26-13:43:21,117242,276,2736779,35,0.9977,0.9997,0.9987,2854332,22.919
2025-04-26-13:43:45,110921,191,2663079,53,0.9983,0.9995,0.9989,2774244,22.97
2025-04-26-13:44:09,127710,377,2726505,46,0.9971,0.9996,0.9983,2854638,23.182
2025-04-26-13:44:33,144759,357,2832529,38,0.9975,0.9997,0.9986,2977683,23.172
2025-04-26-13:44:57,126697,315,2812192,50,0.9975,0.9996,0.9986,2939254,23.04
2025-04-26-13:45:21,139722,223,2518765,38,0.9984,0.9997,0.9991,2658748,23.015
2025-04-26-13:45:45,131634,241,2874048,29,0.9982,0.9998,0.999,3005952,22.939
2025-04-26-13:46:09,123760,202,2706632,49,0.9984,0.9996,0.999,2830643,23.266
2025-04-26-13:46:33,132654,176,2853332,54,0.9987,0.9996,0.9991,2986216,23.18
2025-04-26-13:46:56,133209,286,2826339,15,0.9979,0.9999,0.9989,2959849,22.916
2025-04-26-13:47:20,121658,253,2710939,18,0.9979,0.9999,0.9989,2832868,22.934
2025-04-26-13:47:44,131985,179,2744905,50,0.9986,0.9996,0.9991,2877119,23.259
2025-04-26-13:48:08,123617,161,2728494,31,0.9987,0.9997,0.9992,2852303,22.956
2025-04-26-13:48:32,139824,279,2912145,14,0.998,0.9999,0.999,3052262,23.192
2025-04-26-13:48:56,142803,478,2554663,47,0.9967,0.9997,0.9982,2697991,23.062
2025-04-26-13:49:20,152679,254,2817557,82,0.9983,0.9995,0.9989,2970572,22.967
2025-04-26-13:49:44,144330,218,2755235,41,0.9985,0.9997,0.9991,2899824,22.925
2025-04-26-13:50:07,138436,266,2522084,84,0.9981,0.9994,0.9987,2660870,22.816
2025-04-26-13:50:31,139553,210,2784126,14,0.9985,0.9999,0.9992,2923903,22.923
