date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-11-20:48:02,48478,778616,24314456,176341,0.0586,0.2156,0.0922,25317891,23.782
2025-05-11-20:48:25,6728,17396,25924566,187746,0.2789,0.0346,0.0616,26136436,22.829
2025-05-11-20:48:49,62875,68976,23638650,163779,0.4769,0.2774,0.3508,23934280,22.852
2025-05-11-20:49:12,85763,97944,26008475,128649,0.4668,0.4,0.4308,26320831,22.819
2025-05-11-20:49:36,101258,69267,24197657,93940,0.5938,0.5187,0.5537,24462122,23.169
2025-05-11-20:49:59,135578,45528,24579020,82961,0.7486,0.6204,0.6785,24843087,23.123
2025-05-11-20:50:22,129580,47623,27048760,57049,0.7313,0.6943,0.7123,27283012,22.751
2025-05-11-20:50:46,166673,35151,25533379,48201,0.8258,0.7757,0.8,25783404,23.002
2025-05-11-20:51:09,145739,30439,26850376,40266,0.8272,0.7835,0.8048,27066820,23.146
2025-05-11-20:51:33,159965,32124,23457446,48270,0.8328,0.7682,0.7992,23697805,23.083
2025-05-11-20:51:56,179010,28122,22783889,31733,0.8642,0.8494,0.8568,23022754,22.756
2025-05-11-20:52:20,170424,31490,25455162,35366,0.844,0.8281,0.836,25692442,23.027
2025-05-11-20:52:43,168720,23040,21764581,30843,0.8798,0.8454,0.8623,21987184,22.833
2025-05-11-20:53:07,176114,32068,25402620,25630,0.846,0.873,0.8592,25636432,23.209
2025-05-11-20:53:30,193131,33468,26308162,19675,0.8523,0.9075,0.8791,26554436,23.029
2025-05-11-20:53:54,184787,21520,23976180,16896,0.8957,0.9162,0.9058,24199383,23.072
2025-05-11-20:54:17,184753,29156,25327986,14183,0.8637,0.9287,0.895,25556078,23.174
2025-05-11-20:54:41,210890,32476,20976779,14995,0.8666,0.9336,0.8988,21235140,22.925
2025-05-11-20:55:04,195887,20516,21779519,11943,0.9052,0.9425,0.9235,22007865,22.976
2025-05-11-20:55:28,152264,41121,28152633,15491,0.7874,0.9077,0.8432,28361509,23.091
2025-05-11-20:55:51,183086,28752,20955523,15919,0.8643,0.92,0.8913,21183280,22.894
2025-05-11-20:56:14,188894,22976,24714713,9654,0.8916,0.9514,0.9205,24936237,23.151
2025-05-11-20:56:38,192542,16893,26341787,9305,0.9193,0.9539,0.9363,26560527,22.926
2025-05-11-20:57:01,193139,23065,24111986,9860,0.8933,0.9514,0.9215,24338050,22.97
2025-05-11-20:57:25,199156,21251,23328751,6468,0.9036,0.9685,0.9349,23555626,22.808
2025-05-11-20:57:48,201246,23622,23519592,11546,0.895,0.9457,0.9196,23756006,22.98
2025-05-11-20:58:11,192077,25238,24010722,8207,0.8839,0.959,0.9199,24236244,22.904
2025-05-11-20:58:35,191047,22913,26237771,6770,0.8929,0.9658,0.9279,26458501,22.91
2025-05-11-20:58:58,180401,19171,26824921,7558,0.9039,0.9598,0.931,27032051,23.22
2025-05-11-20:59:22,175653,13006,26412320,5808,0.9311,0.968,0.9492,26606787,23.106
2025-05-11-20:59:45,204095,28117,26512347,7619,0.8789,0.964,0.9195,26752178,22.917
2025-05-11-21:00:09,204255,15777,24954973,5071,0.9283,0.9758,0.9514,25180076,22.777
2025-05-11-21:00:32,204388,18377,22695038,6070,0.9175,0.9712,0.9436,22923873,22.804
2025-05-11-21:00:55,206216,17328,23227766,5536,0.9225,0.9739,0.9475,23456846,22.814
2025-05-11-21:01:18,199801,14258,23704245,4650,0.9334,0.9773,0.9548,23922954,22.917
2025-05-11-21:01:42,205997,17347,23248396,4218,0.9223,0.9799,0.9503,23475958,22.954
2025-05-11-21:02:05,177044,11288,25436375,4739,0.9401,0.9739,0.9567,25629446,23.011
2025-05-11-21:02:29,220750,18716,22736319,6143,0.9218,0.9729,0.9467,22981928,22.97
2025-05-11-21:02:52,199340,21797,27863008,5293,0.9014,0.9741,0.9364,28089438,22.823
2025-05-11-21:03:16,197879,14917,25281561,5383,0.9299,0.9735,0.9512,25499740,23.016
